# r Si-Si Si-Ge Ge-Ge
9.999999999999958575e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000007522e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000018319e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000020095e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.999999999999988565e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.099999999999996397e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.299999999999997824e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.499999999999992728e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000010392e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.899999999999995859e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000007139e-01 0.000000000000000000e+00 4.802803408948437269e-01 0.000000000000000000e+00
2.299999999999987887e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00 3.306857593520061700e-01 0.000000000000000000e+00
2.700000000000010170e-01 0.000000000000000000e+00 2.906266779455083937e-01 0.000000000000000000e+00
2.900000000000002576e-01 0.000000000000000000e+00 2.460272992849976414e-01 0.000000000000000000e+00
3.100000000000011080e-01 3.810879258511505330e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.299999999999986278e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999990896e-01 0.000000000000000000e+00 1.702576907254694238e-01 8.004952466889381224e-01
3.700000000000007172e-01 0.000000000000000000e+00 1.523532792372988554e-01 0.000000000000000000e+00
3.900000000000005129e-01 0.000000000000000000e+00 1.393276010834296197e-01 0.000000000000000000e+00
4.099999999999976996e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000027134e-01 0.000000000000000000e+00 1.158923812814749016e-01 0.000000000000000000e+00
4.500000000000018985e-01 0.000000000000000000e+00 2.060129266316076679e-01 0.000000000000000000e+00
4.699999999999990852e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.899999999999978262e-01 0.000000000000000000e+00 1.757038070012907349e-01 0.000000000000000000e+00
5.100000000000020073e-01 0.000000000000000000e+00 8.019826641553369495e-02 0.000000000000000000e+00
5.300000000000009148e-01 0.000000000000000000e+00 7.426047355325403332e-02 0.000000000000000000e+00
5.499999999999992673e-01 0.000000000000000000e+00 1.384821589621094695e-01 0.000000000000000000e+00
5.699999999999962874e-01 0.000000000000000000e+00 1.279072809296427637e-01 4.013408276766845528e-01
5.900000000000026334e-01 0.000000000000000000e+00 5.963225720870097418e-02 0.000000000000000000e+00
6.100000000000020961e-01 0.000000000000000000e+00 5.562279679284609646e-02 0.000000000000000000e+00
6.299999999999977840e-01 6.668366646093253081e-02 2.632235377948087818e-01 1.268654772146159959e-01
6.500000000000031308e-01 9.788048036357872850e-02 1.495727198830796301e-01 0.000000000000000000e+00
6.699999999999979305e-01 0.000000000000000000e+00 4.647069135037301679e-02 0.000000000000000000e+00
6.899999999999982814e-01 1.375811301484212712e-01 4.561354502246924708e-02 8.686173124395997480e-02
7.100000000000004086e-01 6.857653252011147726e-02 4.166976802437329097e-02 0.000000000000000000e+00
7.299999999999976508e-01 0.000000000000000000e+00 2.358342277795366371e-01 1.789643578436704296e-01
7.500000000000000000e-01 0.000000000000000000e+00 3.734377646365380499e-02 8.951849387720103857e-02
7.700000000000027933e-01 0.000000000000000000e+00 1.760677424602773988e-01 9.797688553980024584e-02
7.899999999999988143e-01 5.869779844876734515e-02 6.682260601345643702e-02 0.000000000000000000e+00
8.100000000000018296e-01 6.716477050968515383e-02 6.576482465203052630e-02 0.000000000000000000e+00
8.300000000000040679e-01 4.490310553541142918e-02 1.530784409595563611e-01 6.830261275330916371e-02
8.499999999999963141e-01 4.522662034000075187e-02 1.160163917853797577e-01 0.000000000000000000e+00
8.700000000000028821e-01 4.317122699004127123e-02 1.119998678992814717e-01 0.000000000000000000e+00
8.899999999999942402e-01 0.000000000000000000e+00 2.388260339005336685e-01 0.000000000000000000e+00
9.099999999999971445e-01 0.000000000000000000e+00 3.036271005175334992e-01 0.000000000000000000e+00
9.300000000000049338e-01 7.994076443919891084e-02 1.937694533565993971e-01 6.245372221812415386e-02
